title,created,plays
Robert K. Nelson Digital Dialogue: 'Hardtack and Software: Topic Modeling in Civil War Newspapers',2016-07-08T18:11:20+00:00,14,https://vimeo.com/videos/173944018
Aditi Muralidharan Digital Dialogue: 'Large Scale Text Analysis in the Digital Humanities: Methods and Challenges',2016-07-08T18:07:43+00:00,73,https://vimeo.com/videos/173943582
Adeline Koh Digital Dialogue: 'Digitizing Chinese Englishmen',2016-07-08T17:41:53+00:00,11,https://vimeo.com/videos/173940602
"Jen Golbeck Digital Dialogue: 'Art, Tagging, and Social Media'",2016-07-08T17:18:13+00:00,14,https://vimeo.com/videos/173937771
Ed Summers Digital Dialogue: 'Linking Things on the Web: A Pragmatic Examination of Linked Data',2016-07-08T17:07:09+00:00,27,https://vimeo.com/videos/173936418
Rita Raley Digital Dialogue: 'Disintegrated Reading',2016-07-08T16:58:19+00:00,35,https://vimeo.com/videos/173935236
Craig Saper Digital Dialogue: 'R\e\a\d/i/n/g as a Publishing Practice',2016-06-30T17:38:30+00:00,18,https://vimeo.com/videos/172941605
Beth Plale Digital Dialogue: 'Digital Humanities at Scale: the HathiTrust Research Center',2016-06-30T17:35:00+00:00,5,https://vimeo.com/videos/172941213
Leigh Wilson Smiley Digital Dialogue: 'Vocal Visions',2016-06-30T17:32:26+00:00,7,https://vimeo.com/videos/172940859
Michael Witmore Digital Dialogue: 'Shakespeare from the Waist Down',2016-06-30T17:28:07+00:00,22,https://vimeo.com/videos/172940360
Bill Lefurgy Digital Dialogue: 'Digital Preservation: A Role for Public Libraries',2016-06-30T17:24:41+00:00,52,https://vimeo.com/videos/172939783
Carla L. Peterson and Seth Denbo Digital Dialogue: 'From Print to Digital: The Black Gotham Digital Archive',2016-06-30T17:15:37+00:00,23,https://vimeo.com/videos/172938512
Ethan Watrall Digital Dialogue: 'Archaeology and the Big Tent of the Digital Humanities',2016-06-30T17:12:23+00:00,44,https://vimeo.com/videos/172938084
"Mark Matienzo Digital Dialogue: 'Contextual Futures: The Meaning, Structure, and Use of Archival Description'",2016-06-30T17:10:11+00:00,16,https://vimeo.com/videos/172937800
Hayim Lapin Digital Dialogue: 'A Digital Edition of a Classical Hebrew Text: The Digital Mishnah Project',2016-06-24T21:24:18+00:00,27,https://vimeo.com/videos/172166190
"Sheila Brennan Digital Dialogue: 'Getting to the Stuff: Digital Cultural Heritage Collections, Absence, and Memory'",2016-06-24T21:14:53+00:00,16,https://vimeo.com/videos/172165259
Lisa Rhody Digital Dialogue: 'Revising Ekphrasis: Telling the Sister Arts' Story Through Topic Modeling and Network Analysis',2016-06-24T20:57:51+00:00,29,https://vimeo.com/videos/172163396
"Amanda French Digital Dialogue: 'Sheesh, What's With All the THATCamps?'",2016-06-24T20:42:43+00:00,13,https://vimeo.com/videos/172161734
Julia Flanders Digital Dialogue: 'Small TEI Projects on a Large Scale: TAPAS',2016-06-24T20:32:17+00:00,17,https://vimeo.com/videos/172160537
"Donald Brinkman Digital Dialogue: 'Big Heritage, Big Quilts, and Big Canvases'",2016-06-23T20:07:45+00:00,16,https://vimeo.com/videos/172003187
Andy van Dam Digital Dialogue: 'Five Decades of Experiments with Hypermedia Systems for the Humanities',2016-05-11T17:20:29+00:00,104,https://vimeo.com/videos/166239947
Computer Science and the Humanities Then and Now: A Film Screening and Discussion with Andy van Dam,2016-05-03T21:19:05+00:00,153,https://vimeo.com/videos/165214812
Matthew Kirschenbaum: Book Launch event for 'Track Changes: A Literary History of Word Processing',2016-04-22T20:37:56+00:00,110,https://vimeo.com/videos/163874124
Using the Shelley-Godwin Archive Part 3 : Search Function,2016-04-21T21:52:49+00:00,56,https://vimeo.com/videos/163754403
Using the Shelley-Godwin Archive Part 2 : Page Viewer,2016-04-21T21:52:49+00:00,133,https://vimeo.com/videos/163754402
Harold Short Digital Dialogue: 'Cultural Memory & Digital Mediation',2016-04-21T21:46:35+00:00,29,https://vimeo.com/videos/163753744
Oliver Gaycken Vambery Fellowship Talk: 'A Cinema of Living Facts: The Encyclopaedia Cinematographica's Archive of Movement',2016-03-30T16:18:20+00:00,75,https://vimeo.com/videos/160910997
Henry Lovejoy Digital Dialogue: 'West Africa Historical GIS and the Liberated Africans Project',2016-03-21T18:04:16+00:00,118,https://vimeo.com/videos/159831363
Using the Shelley-Godwin Archive : Introduction,2016-03-09T17:12:14+00:00,608,https://vimeo.com/videos/158359989
"Maxim Romanov Digital Dialogue: 'Of graphs, maps, and 30,000 Muslims: Digital Humanities & The Premodern Islamic World'",2016-03-04T21:48:49+00:00,119,https://vimeo.com/videos/157785407
Kim Gallon Digital Dialogue: Black Digital Humanities Pedagogy and Praxis,2016-02-29T17:16:21+00:00,0,https://vimeo.com/videos/157164828
Thomas Haigh & Mark Priestley Digital Dialogue: 'Working on ENIAC: The Lost Labors of the Information Age',2016-02-22T16:32:27+00:00,257,https://vimeo.com/videos/156284034
Elissa Frankle Digital Dialogue: 'Making History w/ the Masses Revisited: History Unfolded & the Realities of Citizen History',2016-02-09T20:41:16+00:00,39,https://vimeo.com/videos/154774401
Trisha Campbell Digital Dialogue: 'Murder Networks: A New Materialist Look at Violence',2015-11-13T16:59:04+00:00,60,https://vimeo.com/videos/145652528
"Richard Freedman Digital Dialogue: 'Music, Technology, and Digital Scholarship'",2015-11-06T16:42:48+00:00,39,https://vimeo.com/videos/144893129
Matthew Lincoln Digital Dialogue: 'Experimental Models and Art Historical Computing',2015-10-30T16:24:34+00:00,116,https://vimeo.com/videos/144138534
"James English Digital Dialogue: 'What Counts as Contemporary Fiction? Scale, Value, and Field'",2015-10-26T16:07:47+00:00,156,https://vimeo.com/videos/143630655
Cheryl Ball Digital Dialogue: 'The Archipelago of Multimedia Publishing',2015-10-16T16:00:09+00:00,37,https://vimeo.com/videos/142652940
"Elizabeth Losh Digital Dialogue: A Woman's Touch: Manual Labor, Pink Collar Workers, and Feminist New Media Origin Stories",2015-10-12T21:28:18+00:00,77,https://vimeo.com/videos/142186343
Engaging the Public Workshop Part 4: Roundtable: 'Big Challenges and How They Might Be Met',2015-05-26T15:01:44+00:00,19,https://vimeo.com/videos/128885507
Engaging the Public Workshop Part 5: Roundtable: 'Best Practices',2015-05-26T15:01:44+00:00,47,https://vimeo.com/videos/128885506
Engaging the Public Workshop Part 3: Roundtable: 'A View From the Funders' Perspective',2015-05-15T17:11:39+00:00,14,https://vimeo.com/videos/127952179
Engaging the Public Workshop Part 2: Roundtable: 'Dispatches From the Field',2015-05-15T17:11:39+00:00,19,https://vimeo.com/videos/127952178
Engaging the Public Workshop Part 1: Welcome and Keynote,2015-05-15T17:11:39+00:00,49,https://vimeo.com/videos/127952177
Amanda Visconti Digital Dialogue: 'Do read the comments: Designing digital editions for a public humanities conversation',2015-05-11T15:58:58+00:00,40,https://vimeo.com/videos/127501043
Paul Jaskot Dialogue: Between Document & Digital Map: The Need for the Archive & GIS to Analyze the Nazi Built Environment,2015-05-04T17:12:51+00:00,36,https://vimeo.com/videos/126825421
Raffaele Viglianti Dialogue: 'Performing the Digital Edition: Textual Scholarship & the Digital Consumption of Music Scores',2015-03-30T19:18:37+00:00,121,https://vimeo.com/videos/123659410
Miriam Posner Digital Dialogue: Head-and-Shoulder Hunting in the Americas: Exploring Lobotomy's Visual Culture,2015-03-24T21:28:10+00:00,73,https://vimeo.com/videos/123139276
"Mauricio Giraldo Digital Dialogue: Kill Time, Make History: Building Inspector and other HCI Case Studies from NYPL Labs",2015-03-12T15:44:57+00:00,62,https://vimeo.com/videos/122009158
Shannon Mattern Digital Dialogue: Strata of Sentience: Deep Mapping the Media City,2015-02-27T19:23:11+00:00,350,https://vimeo.com/videos/120827621
"Darius Kazemi Digital Dialogue: Strange Bedfellows: Digital Humanities, Internet Art, and the Weird Internet",2014-12-19T22:33:46+00:00,154,https://vimeo.com/videos/115022143
Alex Wright Digital Dialogue: The Platonic Network,2014-12-03T17:40:59+00:00,60,https://vimeo.com/videos/113520682
Alexis Lothian Digital Dialogue: From Transformative Works to #transformDH: Digital Humanities as (Critical) Fandom,2014-11-24T15:19:42+00:00,109,https://vimeo.com/videos/112708755
Andrew Johnston Digital Dialogue: Models of Code and the Digital Architecture of Time,2014-11-18T16:59:05+00:00,87,https://vimeo.com/videos/112188369
"Marisa Parham Digital Dialogue: ""Without Innovation: African American Lifeworlds and the Internet of Things""",2014-11-13T15:18:05+00:00,256,https://vimeo.com/videos/111746354
"Stephanie Ceraso Digital Dialogue: ""Listening Bodies, Digital Production and the Pursuit of Invigorated Sonic Experiences",2014-11-06T18:01:30+00:00,130,https://vimeo.com/videos/111130136
The Shelley-Godwin Archive: A Visualization of the Git Repository,2014-10-20T20:30:17+00:00,312,https://vimeo.com/videos/109505574
"Alison Booth Digital Dialogue: ""Prosopography and Crowding Attention""",2014-10-09T03:32:58+00:00,141,https://vimeo.com/videos/108434123
"Caetlin Benson-Allott Digital Dialogue-""Spectacular Stunts and Digital Detachment Connecting Effects to Affects in US Car Movies",2014-04-29T18:37:59+00:00,83,https://vimeo.com/videos/93290210
"Margo Padilla, Lauren Work, Erica Titkemeyer, and Molly Schwartz Digital Dialogue: ""New Voices in the Digital Curation""",2014-04-16T17:17:32+00:00,148,https://vimeo.com/videos/92162319
"Lori Emerson Digital Dialogue: ""There Is No Internet""",2014-04-02T16:42:22+00:00,158,https://vimeo.com/videos/90772853
